Elastic modulus	Materials science, Mechanics
Flora	Botany, Ecology, Reference works
Eric Cantona	1966 births, Living people, Actors from Marseille, French footballers, French movie actors, Manchester United F.C. players, Sportspeople from Provence-Alpes-Cote d'Azur
Twin town	Diplomacy, Settlements
Buffyverse	Whedonverse
Loudness	Sound
Atlas Mountains	Mountains of Africa, Geography of Algeria, Geography of Morocco, Tunisia
Genetic drift	Evolutionary biology, Classical genetics
1956 Winter Olympics	1956 in sports, 1956 in Europe, 1950s in Italy, Sport in Italy, Veneto, Winter Olympics in Europe
Feather duster	Cleaning tools
Electrostatics	Electricity
Coat of arms of Dominican Republic	National coats of arms, Dominican Republic, 1844 establishments in the Dominican Republic
Eustis, Florida	Cities in Florida
Fort Walton Beach, Florida	Cities in Florida
Supercell	Severe weather
Kathleen Blanco	1942 births, 2019 deaths, Governors of Louisiana, Deaths from liver cancer, Deaths from melanoma, Deaths from eye neoplasm, US Democratic Party politicians, Lieutenant Governors of Louisiana
Armenian hypothesis	Indo-European, Armenian language, Ancient Armenia, Origin hypotheses of ethnic groups
Wilsonian Armenia	History of Armenia
Yasuo Fukuda	1936 births, Living people, Prime Ministers of Japan, People from Gunma Prefecture
Mercenary	Military
Kere	Lakes of Kazakhstan
Jean-Pierre Jeunet	1953 births, Living people, French movie directors
Graham Yost	1959 births, Living people, Canadian screenwriters, Emmy Award winners
Longboat	Boats
Jarrow	Towns in Tyne and Wear
1952 Winter Olympics	1952 Winter Olympics, 1952 in sports, 1952 in Europe, 20th century in Norway, History of Oslo
1940 Summer Olympics	1940 in sports, 1940s in Japan, Cancelled Olympic Games, Summer Olympic Games
1936 Winter Olympics	1936 in Germany, 1936 in sports, History of Bavaria, Olympic Games in Germany, Sport in Bavaria, Winter Olympics in Europe
Atlas (anatomy)	Bones
Vertebra	Bones
1928 Winter Olympics	1928 in sports, Winter Olympics in Europe, Sport in Switzerland, 20th century in Switzerland, 1928 in Europe
Local government in England	Local government in England
1928 Summer Olympics	1928 in sports, Summer Olympics in Europe, Sport in the Netherlands, History of Amsterdam, 20th century in the Netherlands, 1928 in Europe
1924 Winter Olympics	1924 in sports, 1920s in France, Chamonix, Sport in France, Winter Olympics in Europe, 1924 in Europe
Realism	Philosophical movements and positions‎, Art movements, Literature, Music
Ridge (meteorology)	Meteorology
Hurricane Hunters	Hurricanes
St. Vincent Island, Florida	Islands of Florida
Phencyclidine	Illegal drugs
Philodendron	Vines, Araceae
Sagittarius (astrology)	Astrological signs
Shell Oil Company	Companies based in Houston
Noble Energy	Companies based in Houston
Pakenham railway line, Melbourne	Australian railways, Transport in Melbourne
Austrian Empire	19th century in Austria, 1804 establishments in Europe, 1867 disestablishments, 19th century disestablishments in Europe, 1860s disestablishments in Europe
Pilot fish	Perciformes
Bălţi	Cities in Moldova
Floyd Landis	1975 births, Living people, American cyclists, Doping cases in cycling, Sportspeople from Pennsylvania, Tour de France cyclists
Óscar Pereiro	1977 births, Living people, Doping cases in cycling, Spanish cyclists
Hawksbill sea turtle	Turtles, Marine reptiles, Critically endangered species
1924 Summer Olympics	1924 in sports, 1920s in France, History of Paris, Summer Olympics in France, 1924 in Europe
1906 Summer Olympics	1906 in Europe, Summer Olympics in Europe, Sport in Athens, 20th century in Greece
2012 Summer Olympics	2012 Summer Olympics
1952 Summer Olympics	1952 Summer Olympics, Helsinki, 20th century in Finland, 1952 in sports, 1952 in Europe
1948 Summer Olympics	1948 Summer Olympics, 1948 in sports, 1940s in England, 20th century in London
1944 Summer Olympics	1944 in Europe, 1944 in sports, 1940s in England, Cancelled Olympic Games, Summer Olympic Games, 20th century in London
1920 Summer Olympics	1920 in Europe, 20th century in Belgium, Summer Olympics in Europe, Sport in Belgium, Antwerp
1916 Summer Olympics	1916 in Europe, 1910s in Germany, 20th century in Berlin, Cancelled Olympic Games, Olympic Games in Germany, Sport in Berlin, Summer Olympic Games
Morphology (linguistics)	Grammar
Syntax	Grammar
1912 Summer Olympics	1912, 1910s in Europe, 20th century in Sweden, Sport in Stockholm, Summer Olympics in Europe
Vyacheslav Vsevolodovich Ivanov	Linguists, Russian scientists, 1929 births, 2017 deaths
Tamaz V. Gamkrelidze	1929 births, 2021 deaths, Scientists from Georgia (country)
Georgian alphabet	Georgia (country), Alphabets
Cytosine	Molecular biology, Organic compounds
1908 Summer Olympics	1908, 1900s in the United Kingdom, Sport in London, Summer Olympics in Europe
Guanine	Biochemistry
Glottalic theory	Pronunciation
Proto-Indo-Europeans	Indo-European
Urheimat	Indo-European, Origin hypotheses of ethnic groups
Anatolian hypothesis	Indo-European, Origin hypotheses of ethnic groups
Rafael Ishkhanyan	1922 births, 1996 deaths, Armenian historians
Cross-country race	Running
Long distance race	Running
Warsaw Convention	Aviation, 1929 in Europe, 20th century in Poland, 1955, 1950s in the Netherlands, 1975, 1970s in Canada, 20th century in Montreal, 1920s treaties, 1950s treaties, 1970s treaties
Coroner (band)	1980s establishments in Switzerland, 1985 establishments in Europe, 1996 disestablishments, 2010 establishments in Switzerland, Swiss heavy metal bands, Thrash metal bands, Zürich, Musical groups established in 1985, Musical groups disestablished in 1996, Musical groups established in 2010, Disestablishments in Switzerland
Ritchies	Supermarkets of Australia
Maggie Smith	Academy Award winning actors, Actors from Essex, Actors from Oxfordshire, BAFTA Award winning actors, Breast cancer survivors, Emmy Award winning actors, English movie actors, English stage actors, English television actors, Golden Globe Award winning actors, People from Ilford, People from Oxford, Tony Award winning actors, 1934 births, Living people, Knights and Dames Commander of the Order of the British Empire
Blood Tsunami	Thrash metal bands, Norwegian heavy metal bands, Oslo, Musical groups established in 2004, 2004 establishments in Europe, 21st century establishments in Norway
Bates College	Colleges and universities in Maine, Oberlin Group of Libraries, Lewiston, Maine, 1855 establishments in the United States, 19th-century establishments in Maine
Suffolk University	Colleges and universities in Massachusetts, 1906 establishments in the United States, 1900s establishments in Massachusetts
French literature	French literature
Treaty of Warsaw (1970)	1970, 1970s in Germany, 20th century in Poland, 1970s treaties
History of Poland	History of Poland
Polish-Lithuanian Union	History of Poland, History of Lithuania
Personal union	Political systems
Scordatura	Musical performance techniques
2028 Summer Olympics	2028, 2020s in sports, Summer Olympics in the United States, 21st century in California
Etruscan origins	Etruscan civilization
Etruscan language	Language isolates, Etruscan civilization
Albanian language	Indo-European languages, Languages of Europe
Trialeti culture	History of Armenia, History of Georgia (country)
Kura-Araxes culture	History of Georgia (country), History of Armenia, History of Azerbaijan
Biodiesel	Biofuels
Nimrod	Old Testament people
Julie Kavner	1950 births, Living people, American television actors, Actors from Los Angeles, California, Emmy Award winning actors
Age of Empires	Real-time strategy video games, Video game series, Windows games
Bridge (instrument)	String instrument construction
Brazilwood	Trees, Fabaceae
Chav	British culture, Pejoratives, Slang
Council house	Public services in the United Kingdom, Houses
Midnight Madness	1980 movies, Disney movies, English-language movies
Barvas	Villages in Scotland
Lewis	Inner and Outer Hebrides
Stornoway	Towns in Scotland
Skye	Inner and Outer Hebrides
2024 Summer Olympics	2020s in France, 2020s in sports, August events, History of Paris, July events, Summer Olympics in France
2022 Winter Olympics	2022 in sports, Winter Olympics in Asia, 21st century in China
Guarneri	Musical instrument makers, People from Cremona
Amati	Musical instrument makers, Italian families
Guardians of Scotland	History of Scotland, 1292 establishments, Establishments in Scotland, 14th century disestablishments in Europe, 1292 disestablishments, 1295 establishments, 1302 disestablishments, 1290s establishments in Europe
Montel Vontavious Porter	1973 births, African-American wrestlers, American agnostics, American burglars, American kidnappers, American professional wrestlers, American rap musicians from Florida, American robbers, Converts to Islam, Living people, Former WWE wrestlers, Sportspeople from Miami, Florida, TNA wrestlers
Pretzel	Snack foods, German food
Shoplifting	Theft
Portrait	Art
Steroid	Steroid hormones, Drugs
Road rage	Human behavior, Violence
Graceland	Memphis, Tennessee, Elvis Presley, Buildings and structures in Tennessee
Harry Shearer	American television actors, American voice actors, Comedians from Los Angeles, California, Actors from Los Angeles, California, HuffPost writers and columnists, 1943 births, Living people
Nancy Cartwright	1957 births, Living people, American voice actors, Ohio University alumni
Coco Lee	1975 births, Living people, Singers from Hong Kong, C-pop singers, American composers, Singer-songwriters from California, Actors from Hong Kong
Daniel Schneidermann	1958 births, Living people, French writers, French journalists
Pound (mass)	Imperial units, Units of mass
Eastern Armenia	History of Armenia
Western Armenia	History of Armenia
Kingdom of Poland (1385–1569)	History of Poland
Jagiellon dynasty	History of Poland, Royal dynasties
D'oh!	The Simpsons
Aqua regia	Acids
Inari (mythology)	Japanese deities
Kurgan hypothesis	Indo-European, Origin hypotheses of ethnic groups
Marija Gimbutas	1921 births, 1994 deaths, Archaeologists, Lithuanian people, People from Vilnius
Luwians	Indo-European
Phrygia	Former monarchies of Asia, Former vassal states, History of Turkey
White Genocide	Armenian Genocide, Genocide
Didier Drogba	1978 births, Living people, Ivorian footballers, Chelsea F.C. players
Muscatine, Iowa	Cities in Iowa, County seats in Iowa
Armenian Army	Military of Armenia, Armies, 1992 establishments, 20th century establishments in Armenia
Armenian Air Defense	Military of Armenia
Armed Forces of Armenia	Military of Armenia
President of Armenia	Presidents of Armenia, 1991 establishments, 20th century establishments in Armenia
Levon Ter-Petrossian	1945 births, Living people, Presidents of Armenia
Intonation (music)	Musical performance techniques, Vocal music
Musical tuning	Musical instruments
List of members of the Red Army Faction	Germany-related lists, German terrorists, Red Army Faction
Captain of Köpenick	1849 births, 1922 deaths, German criminals
Hittites	Hittite Empire, Mesopotamia
Suppiluliuma II	Hittite Empire
Battle of Rhandeia	History of Armenia, Wars and battles of Ancient Rome, 62
Hydrochloric acid	Acids, Chlorine compounds, Medicine
Kobayr monastery	Churches in Armenia
Hnevank	Churches in Armenia
Huntington's disease	Genetic disorders, Diseases
Adenoidectomy	Surgery
Turkish Armenian Reconciliation Commission	Establishments in Armenia, 2000s establishments in Turkey, 2001 establishments in Asia, Political organizations based in Asia
ROT13	Cryptography
Tony Kahn	American radio personalities, American journalists, Columbia University alumni, Writers from Los Angeles, California, Year of birth missing (living people), Living people
DDT	Poisons, Organic compounds, Carcinogens, Pollution
Nucleobase	Biochemistry
Kėdainiai	Cities in Lithuania
Base pair	Molecular biology
Complementarity (molecular biology)	Molecular biology
Glissando	Musical performance techniques, Musical terminology
Almudena Cathedral	Roman Catholic Cathedrals, Cathedrals in Spain, Buildings and structures in Madrid, 1993 establishments in Europe, 1990s establishments in Spain
KIO Towers	Buildings and structures in Madrid, 1996 establishments in Europe, 1990s establishments in Spain
Portamento	Musical performance techniques, Musical terminology
Hydrogen bond	Chemical bonding
Thalidomide	Drugs, Health problems
United Arab Republic	1957 establishments, 1961 disestablishments, Former countries in Africa, Former countries in Asia, 20th century in Egypt, 20th century in Syria
Drop goal	Rugby
Southern Rhodesia	History of Zimbabwe, Former British colonies
Sibylline Books	Roman mythology, Religious texts
2020 Summer Olympics	2021 in Asia, 2021 in sports, 21st century in Japan, History of Tokyo, July 2021 events, August 2021 events, 2020 Summer Olympics
2016 Summer Olympics	2016 Summer Olympics
Molecular biology	Biochemistry, Cell biology, Molecular biology
Uracil	Biochemistry
Double stopping	Musical performance techniques
Saar (protectorate)	Former countries in Europe, 20th century in Germany, 20th century in France, Saarland, 1947 establishments in Europe, 1956 disestablishments in Europe
Law of large numbers	Statistics
Hennes & Mauritz	Companies of Sweden, Clothing companies, 1947 establishments in Sweden
Luchegorsk	Settlements in Russia
The Tell-Tale Heart	19th-century American short stories, Short stories by Edgar Allan Poe
Boxe pieds-poings	Martial arts
Vibrato	Musical performance techniques
Titan A.E.	2000 movies, 2000 animated movies, 2000 science fiction movies, American animated movies, American science fiction movies, 20th Century Fox movies, Movies directed by Don Bluth, Screenplays by Joss Whedon, Dystopian movies
Nigella Lawson	1960 births, Living people, Alumni of the University of Oxford, British chefs, English television presenters, Jewish British writers, Jewish entertainers, Journalists from London, People educated at Westminster School, London, People from Wandsworth, Television personalities from London, Writers from London
Pittsburg, Texas	Cities in Texas, County seats in Texas
Level 42	1970s British music groups, 1979 establishments in the United Kingdom, 1980s British music groups, 1990s British music groups, 2000s British music groups, 2010s British music groups, British pop rock bands, English pop music groups, English rock bands, Isle of Wight, Musical groups established in 1979, New wave bands
Johann Heinrich Schmelzer	1623 births, 1688 deaths, Baroque composers, Austrian composers
Oireachtas	Politics of Ireland, Government of the Republic of Ireland, National legislatures
Quasar	Galaxies, Black holes
Dáil Éireann	Politics of Ireland, Government of the Republic of Ireland, National lower houses, 1918 establishments in Europe, 1920s establishments in the United Kingdom, 20th century establishments in the Republic of Ireland
Taoiseach	Taoisigh of Ireland, Government of the Republic of Ireland, Government occupations
Anton Webern	1883 births, 1945 deaths, 20th century composers, Austrian composers, People from Vienna
Seanad Éireann	Politics of Ireland, Government of the Republic of Ireland, National upper houses
Protein biosynthesis	Proteins
List of hurricanes in California	California-related lists, Hurricanes in the United States, Weather lists
National Weather Service	United States government agencies, Weather services
Yuma, Arizona	Cities in Arizona, County seats in Arizona, 1914 establishments in the United States, 20th-century establishments in Arizona
Storm surge	Severe weather
California Current	Pacific Ocean, Ocean currents
Baja California Peninsula	Geography of Mexico, Peninsulas
Sukkot	Jewish festivals and holidays
Waterworld	1995 action movies, 1990s adventure movies, 1990s science fiction movies, American action movies, American adventure movies, American science fiction movies, English-language movies, Movies set in the future, Universal Pictures movies, Post-apocalyptic movies, Movies with underwater settings
Kevin Costner	1955 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Democrats (United States), Academy Award winning directors, Actors from Los Angeles County, California, American Baptists, Musicians from Los Angeles County, California, Movie directors from Los Angeles County, California, Movie producers from Los Angeles County, California
Douglas Hyde	1860 births, 1949 deaths, Presidents of Ireland, Politics of Ireland, Former members of Seanad Éireann
Cearbhall Ó Dálaigh	1911 births, 1978 deaths, Presidents of Ireland, Irish judges, People from Dublin, Chief justices, Attorneys general
Translation (genetics)	Molecular biology, Cell biology
Gene expression	Genetics, Cell biology, Molecular biology, Epigenetics
Curtis (50 Cent album)	2007 albums, 50 Cent, Hip hop albums
Šarplaninac	Dog breeds
El Limón, Samaná	Settlements in Dominican Republic, 2001 establishments in the Dominican Republic
Théodore Chassériau	1819 births, 1856 deaths, French painters, Burials at Montmartre Cemetery, Paris
Intermolecular force	Chemistry
Spineshank	American heavy metal bands, Alternative metal bands, Musical groups from Los Angeles, California
Tanystropheus	reptiles
Yuryuzan, Chelyabinsk Oblast	Towns in Russia
Sim (town)	Towns in Russia, 18th century establishments in Russia, 1759 establishments
Duff Beer	The Simpsons, Beer
Sassuntsi-Davit Tank Regiment	20th century in Armenia, History of Azerbaijan, 1940s in the Soviet Union, Military
Sursk	Towns in Russia, 1860 establishments, 19th century establishments in Russia
Lipki	Towns in Russia
Lage	Lippe Rural District
Venture capital	Economics
Moment of inertia	Mechanics, Physical quantity
Multiple choice	Tests
Angular velocity	Physical quantity, Mechanics
Angular frequency	Physical quantity, Mechanics
Pseudovector	Algebra, Mathematics
Twister (1996 movie)	1996 drama movies, 1990s disaster movies, American disaster movies, American drama movies, English-language movies, Movies set in Oklahoma, Warner Bros. movies, Movies composed by Ennio Morricone
Spoke	Engineering
Examination	Education, Tests
Irish Republic	History of Ireland, 1919 establishments in Europe, 1922 disestablishments in Europe
Super Smash Bros. Brawl	Super Smash Bros., 2008 video games, Wii games
Final Fantasy Tactics Advance	Final Fantasy games
X-Men (movie)	2000 movies, 2000s superhero movies, X-Men movies, Movies directed by Bryan Singer, Movies produced by Avi Arad, Movies produced by Lauren Shuler Donner, Movies set in New York City, Movies set in the 1940s, 20th Century Fox movies
Kingston upon Hull	Kingston upon Hull, Unitary authorities, 12th century establishments in Europe
Riding (division)	Counties of the United Kingdom, Politics of Canada
Pulkkila	Former municipalities of Finland
Emmental cheese	Swiss cheeses
Emmental	Valleys of Switzerland, Canton of Bern
2001 Pacific hurricane season	2001 in North America, Pacific hurricane seasons
2000 Pacific hurricane season	Pacific hurricane seasons, 2000
2006 Pacific hurricane season	2006 Pacific hurricane season
1997 Pacific hurricane season	1997 Pacific hurricane season
1987 Pacific hurricane season	Pacific hurricane seasons, 1987
1976 Pacific hurricane season	Pacific hurricane seasons, 1976 in North America
Kronosaurus	Plesiosaurs
Fermat number	Number theory
Blowup	1960s mystery movies, 1966 drama movies, British mystery movies, British drama movies, English-language movies, Movies set in London, MGM movies, Italian drama movies, Movies directed by Michelangelo Antonioni
Improper rotation	Geometry
Endorphins	Endocrine system, Proteins
Team Fortress 2	2007 video games, Shooter video games
Big Black	1981 establishments in the United States, 1980s American music groups, 1987 disestablishments in the United States, 1980s establishments in Illinois, American punk bands, American rock bands, Musical groups disestablished in 1987, Musical groups established in 1981, Musical groups from Illinois, 20th-century disestablishments in Illinois
Company of Heroes	2006 video games, Real-time strategy video games
Game & Watch	Handheld video games
Fecundity	Biological reproduction
Séan T. O'Kelly	1882 births, 1966 deaths, Former members of Dáil Éireann, Order of Merit of the Federal Republic of Germany, People from Dublin, Presidents of Ireland
Teachta Dála	Politics of Ireland, Members of Dáil Éireann
Léo Delibes	1836 births, 1891 deaths, Romantic composers, French composers, Burials at Montmartre Cemetery, Paris
Rugrats	1991 American television series debuts, 2004 American television series endings, 1990s animated television series, 1990s American sitcoms, 1990s children's television series, 2000s American sitcoms, 2000s animated television series, 2000s children's television series, American animated television series, American children's television series, Nickelodeon television series, Rugrats, Nicktoons, Emmy Award winning programs, English-language television programs
Displacement vector	Geometry, Physics, Linear algebra, Vectors
Enkephalin	Endocrine system, Proteins
Receptor (cell biology)	Cell biology, Biochemistry
Coppélia	Ballets, Compositions by Léo Delibes
Pan-German movement	German people, Nationalism
IMVU	Free software, Instant messaging software
Constance Georgine, Countess Markiewicz	1868 births, 1927 deaths, Politicians from London, Sinn Féin politicians, Fianna Fáil politicians
Nas	1973 births, Living people, African American musicians, American rap musicians from New York
United Kingdom of Great Britain and Ireland	1922 disestablishments in Europe, 1801 establishments, 1800s establishments in Europe
Xerox	American technology companies, Companies listed on the New York Stock Exchange
Agneta Sjödin	1967 births, Living people, Swedish television presenters
Baroque	Art movements, Architectural styles
Éamon de Valera	1882 births, 1975 deaths, Fianna Fáil politicians, Former members of Dáil Éireann, Government ministers of Ireland, Politicians from New York City, Prisoners of war, Sinn Féin politicians, Taoisigh of Ireland
Operetta	Musical forms, Opera genres
Investiture	Ceremonies
Insignia	Symbols, Military
Irish War of Independence	20th century in Ireland, Wars involving the United Kingdom, Irish War of Independence, Rebellions in Europe, 20th century rebellions, 1919 in the United Kingdom, 1920 in the United Kingdom, 1921 in the United Kingdom
Bishop (chess)	Chess pieces
Bathurst 1000	Auto racing, Sport in Australia, New South Wales
South Atlantic tropical cyclone	Tropical cyclones
Opera buffa	Opera genres
Opera seria	Opera genres
Counties of Ireland	Counties of Northern Ireland, Europe-related lists, Counties of the Republic of Ireland, Lists of counties
Melk Abbey	Benedictine abbeys, Buildings and structures in Austria, Christianity in Austria, Lower Austria
Walenstadt	Municipalities of St. Gallen, Cities in Switzerland
Exhibitionism	Human sexuality
Norman Rockwell	1894 births, 1978 deaths, American painters, Artists from New York City, Deaths from emphysema, Disease-related deaths in Massachusetts
Zuiderzee Works	Dams, Water infrastructure, Seven Wonders of the Modern World, Buildings and structures in the Netherlands, Geography of the Netherlands, History of the Netherlands, Flevoland
Hugo Alvar Henrik Aalto	1898 births, 1976 deaths, Finnish people, Architects
Crook of Devon	Villages in Scotland
Opéra-comique	Opera genres
Vaudeville	Song forms, Opera genres
Capelle aan den IJssel	Cities in the Netherlands, Settlements in South Holland, Municipalities of South Holland
Poppy	Flowers, Ranunculales
Time signature	Musical notation, Music theory
Really Simple Syndication	Computer file formats, Internet
European Union member state	European Union, European Union member states, Europe-related lists
Porter	Basic English 850 words
Quetzal	Birds
The Powerpuff Girls	American children's television series, American animated television series, Cartoon Network series, 1998 television series debuts, 1990s American comedy television series, 2000s American comedy television series, American science fiction television series, Animated adventure television series, American sitcoms, The Powerpuff Girls, American satirical television series, Action television series, Comedy television series, American television series revived after cancellation, Television series about sisters, Comedy science fiction, English-language television programs
Teutonic Knights	Roman Catholicism, History of Europe, Middle Ages, Orders, decorations, and medals, 12th century establishments in Europe
Renju	Board games, Japanese culture
Nainital	Towns in India, Settlements in Uttarakhand
24 (TV series)	2001 American television series debuts, 2010 American television series endings, 2000s American television series, 2010s American television series, American crime television series, American drama television series, Emmy Award winning programs, Fox television series, Golden Globe Award winning programs, Spy television series, Television series set in Los Angeles, California, Television series set in New York City, Television series set in Washington, D.C., English-language television programs
Tony Award for Best Musical	Tony Awards
Tony Award for Best Play	Tony Awards
Queen Anne's Revenge	Ships, Piracy, History of North Carolina
Mouthpiece (brass)	Brass instruments, Former good articles, Musical instrument construction
Erskine Hamilton Childers	1905 births, 1974 deaths, Presidents of Ireland, Tánaistí of Ireland, Former members of Dáil Éireann, Politicians from London
Tánaiste	Politics of Ireland
Irish Free State	Irish Free State, Politics of Ireland, Former countries in Europe, 1922 establishments in Europe, 1930s disestablishments in Europe, 1937 disestablishments
2018 Winter Olympics	2018 in Asia, 2018 in sports, February 2018 events, Sport in South Korea, Winter Olympics in Asia, 2010s in South Korea
Kabyles people	Berber people
Berber languages	Berber languages
Southern Ireland	Former countries in Europe, 1920s in Ireland, 1920s in the United Kingdom, 1922 in Europe
Züsedom	Settlements in Mecklenburg-Vorpommern, Villages in Germany
Bankstown Bunker	1945 establishments in Europe, 1940s in Australia, Fortifications of World War II, Air force, Buildings and structures in New South Wales, Military of Australia, 1940s disestablishments
Coldplay	1990s British music groups, 1997 establishments in England, 2000s British music groups, 2010s British music groups, English rock bands, Coldplay, Grammy Award winners, Musical groups established in 1997, Musical groups from London, Musical quartets
Sleeping sickness	Diseases spread by insects, Diseases caused by protozoa
Ayyubid dynasty	History of Islam, Kurdistan, History of the Middle East, Royal dynasties
Vice-President of the Executive Council of the Irish Free State	Politics of Ireland, Irish Free State
Tsetse fly	Flies
Pun	Figures of speech, Humor
North American P-51 Mustang	United States Army aircraft, Royal Air Force aircraft, World War II American aircraft
Airsoft	Sports
Mikoyan-Gurevich MiG-15	Soviet military aircraft, Military of China, North Korea, Korean War, 1947 establishments
North American F-86 Sabre	United States Air Force aircraft, Royal Air Force aircraft, Korean War
Patrick Hillery	1923 births, 2008 deaths, European Commissioners, Government ministers of Ireland, People from County Clare
Mikoyan-Gurevich MiG-21	Soviet military aircraft, Indian military aircraft, Vietnamese military aircraft, Polish military aircraft, Vietnam War aircraft
Pantyhose	Underwear
Tights	Clothing
Cockatiel	Birds of Australia, Cockatoos, Pets
North Hollywood shootout	1997 in California, 1990s crimes in California, 1990s in Los Angeles, California, February events, Robberies, Suicides by firearm in the United States, Suicides in California
AR-15	Rifles, 5.56 mm firearms
Timpani	Drums
Hurricane Lorenzo (2007)	Hurricanes in Mexico, Category 1 Atlantic hurricanes, 2007 Atlantic hurricane season, 2007 in Mexico
Supergiant	Supergiants
Tipton	Towns in the West Midlands (county)
Organic matter	Organic compounds, Organic chemistry
Mary Robinson	1944 births, Living people, Former members of Seanad Éireann, Presidents of Ireland, United Nations officials
MotorStorm	2006 video games
Athletic shoe	Footwear, Sports clothing
Achtung Baby	U2 albums, 1991 albums
Trail of Tears	1830s in the United States, Cherokee Nation, Crimes against humanity, History of Native Americans, Migration, 19th century in Oklahoma, 19th century in Georgia (U.S. state)
Tropical cyclogenesis	Tropical cyclones
Archbishop	Christian religious occupations
Devolution	Forms of government
5566 (band)	C-pop, 2000s music groups, Pop music groups, Taiwanese musical groups
Fahrenheit (band)	2000s establishments in Taiwan, 2000s music groups, 2010s music groups, Boy bands, C-pop, Musical groups established in 2005, Pop music groups, Taiwanese musical groups, 2005 establishments in Asia
Laborschule Bielefeld	Education in North Rhine-Westphalia, Bielefeld
Jody Scheckter	1950 births, Living people, Formula One drivers, Jewish sportspeople, South African Jews, South African sportspeople, White South African people
Programme for International Student Assessment	Education
Doris Lessing	1919 births, 2013 deaths, Deaths from stroke, English autobiographers, Companions of Honour, Royal Society of Literature, Booker Prize winners, British Nobel Prize winners, British academics, British communists, British feminists, English novelists, English playwrights, English poets, English science fiction writers, British socialists, Nobel Prize in Literature winners, Officers of the Order of the British Empire, Writers from London
An Najaf	Cities in Iraq, 8th century establishments in Iraq
Karbala	Cities in Iraq
Are You Smarter Than a 5th Grader?	2007 television series debuts, Fox television series, First run syndicated television programs, Television game shows
Washington State University	Colleges and universities in Washington, Pac-12 Conference, 1890 establishments in the United States, 19th-century establishments in Washington (state)
Land-grant university	Colleges and universities
Pullman, Washington	Cities in Washington (U.S. state)
Vought F-8 Crusader	United States Navy aircraft, United States Marine Corps aircraft, French military aircraft, Vietnam War aircraft
LTV A-7 Corsair II	United States Air Force aircraft, United States Navy aircraft, Vietnam War aircraft
McDonnell Douglas F-4 Phantom II	United States Air Force aircraft, United States Navy aircraft, United States Marine Corps aircraft, Vietnam War aircraft
Kappa (folklore)	Japanese folklore
Oni (folklore)	Japanese folklore
Tengu	Japanese folklore
John McCain	1936 births, 2018 deaths, American aviators, American Baptists, American military personnel of the Vietnam War, Cancer deaths in Arizona, Deaths from glioblastoma, Prisoners of war, Purple Heart recipients, 2000 United States presidential candidates, 2008 United States presidential candidates, United States representatives from Arizona, United States senators from Arizona, US Republican Party politicians
WikiHow	Wikis, MediaWiki websites
Oregano	Herbs, Lamiaceae
Origanum	Herbs, Lamiaceae
Basil	Lamiaceae, Herbs
Cockapoo	Dog breeds
Short story	Short stories
2014 Winter Olympics	2014 Winter Olympics, 2014 in sports, 2010s in Russia, Sochi, February events
1944 Winter Olympics	1944 in Italy, 1944 in sports, Cancelled Olympic Games, Sport in Italy, Veneto, Winter Olympic Games
