Boeing Model 40	Boeing aircraft
Fran Warren	American movie actors, Singers from New York City, 1926 births, 2013 deaths, Actors from New York City
Carriel Sur International Airport	1968 establishments, Airports in South America, Buildings and structures in Chile, 20th-century establishments in Chile
Next to Me (song)	2012 songs, Pop songs
Back to December	2010 songs, Taylor Swift songs
Fifteen (song)	2009 songs, Taylor Swift songs
Rebecca Hall	English television actors, English movie actors, 1982 births, Living people, Actors from London, BAFTA Award winning actors, English child actors, English stage actors
Outstation	Indigenous Australian culture, Agriculture in Australia, Buildings and structures
Margaret Leighton	English television actors, English movie actors, Deaths from multiple sclerosis, 1922 births, 1976 deaths
Thalassaemia	Genetic disorders, Blood
Prima Donna (song)	2010 songs, Pop songs
Cepheid variable	Variable stars
GloFish	Ray-finned fish, Genetic engineering
Lazarus Saturday	Christian holidays
Joe Weider	1919 births, 2013 deaths, American television personalities, Businesspeople from Los Angeles, California, Bodybuilders, Deaths from heart failure, Naturalized citizens of the United States, Sportspeople from Montreal
George Pullman	1831 births, 1897 deaths, Deaths from myocardial infarction, Burials at Graceland Cemetery, Engineers from New York, Chief executives, Businesspeople from Chicago, Businesspeople from New York
Compound fruit	Fruits
Boeing 80	Boeing aircraft
Boeing Monomail	Boeing aircraft
Giora Feidman	1936 births, Living people, Argentine Jews, Argentine musicians, Clarinetists, Jewish Israeli musicians, Naturalized citizens of Israel, People from Buenos Aires
Louis Jourdan	1921 births, 2015 deaths, Actors from Marseille, Actors who played Bond villains, French movie actors, French musical entertainers, French stage actors, French television actors, French voice actors
Norman Lloyd	1914 births, 2021 deaths, Actors from New Jersey, American movie actors, American radio actors, American stage actors, American television actors, American voice actors, American centenarians, Entertainers from Jersey City, New Jersey, Movie directors from New Jersey, Movie producers from New Jersey
Gill Pinnacle	Mountains of Australia, Geography of Western Australia
Peter Sallis	1921 births, 2017 deaths, Disease-related deaths in London, Actors from Middlesex, English movie actors, English stage actors, English television actors, English voice actors, Officers of the Order of the British Empire, Annie Award winners
Clifton James	1921 births, 2017 deaths, Deaths from diabetes, Disease-related deaths in Oregon, American movie actors, American television actors, American stage actors, American voice actors, Actors from Washington, Actors who played in James Bond movies, People from Spokane, Washington
William Schallert	1922 births, 2016 deaths, Deaths from peripheral neuropathy, American movie actors, American television actors, American stage actors, American voice actors, Presidents of the Screen Actors Guild, Actors from Los Angeles, California
The Lincoln Lawyer	2011 crime movies, 2011 drama movies, 2010s crime drama movies, 2010s legal movies, American crime drama movies, American legal movies, English-language movies, Movies about murderers, Movies set in Los Angeles, California, Lionsgate movies
Peter Vaughan	1923 births, 2016 deaths, Deaths from epilepsy, British military personnel of World War II, English movie actors, English stage actors, English television actors, English voice actors, Entertainers from Shropshire
James Karen	1923 births, 2018 deaths, Deaths from cardiopulmonary arrest, Disease-related deaths in Los Angeles, Jewish American actors, American movie actors, American television actors, American voice actors, American stage actors, Actors from Pennsylvania, People from Wilkes-Barre, Pennsylvania
Theodore Bikel	1924 births, 2015 deaths, Actors from Vienna, American folk musicians, American movie actors, American singers, American stage actors, American television actors, American voice actors, Austrian movie actors, Austrian singers, Austrian stage actors, Austrian television actors, Austrian voice actors, Folk singers, Musicians from Vienna, Naturalized citizens of the United States
Jimmy Gardner	1924 births, 2010 deaths, Actors from Suffolk, Deaths from pneumonia, English movie actors, English stage actors, English television actors, English voice actors, Infectious disease deaths in England
George Cole	1925 births, 2015 deaths, Actors from London, British adoptees, Disease-related deaths in Berkshire, English movie actors, English stage actors, English television actors, English voice actors, Tooting
Kazuo Ishiguro	1954 births, Living people, Booker Prize winners, British Nobel Prize winners, British novelists, Japanese novelists, Officers of the Order of the British Empire, Japanese Nobel Prize winners, Knights Bachelor
Love Story (song)	2008 songs, Pop songs
Toe ring	Jewelry, Feet
Giant star	Types of stars
Aggregate fruit	Fruits
Sylvanian Families	Toys, Companies of Japan, 1985 establishments in Japan
Four Weddings and a Funeral	1994 drama movies, 1994 romance movies, 1994 comedy-drama movies, 1994 LGBT movies, 1990s romantic comedy movies, 1990s romantic drama movies, British comedy-drama movies, British LGBT movies, British romantic comedy movies, British romantic drama movies, English-language movies, LGBT comedy-drama movies, Movies set in London, Movies set in Scotland
Boeing 247	Boeing aircraft
Max Wright	1943 births, 2019 deaths, Deaths from lymphoma, Cancer deaths in New Jersey, American movie actors, American television actors, American stage actors, American voice actors, Actors from Detroit, Michigan
Richard Curtis	1956 births, Living people, Alumni of the University of Oxford, New Zealand movie directors, New Zealand movie producers, New Zealand screenwriters, People from Wellington, Television writers
Separation anxiety disorder	Mental illnesses
Deborah Raffin	1953 births, 2012 deaths, Deaths from leukemia, American movie actors, American television actors, American stage actors, American voice actors, American screenwriters, Publishers, Actors from Los Angeles, California, Movie directors from California, Writers from Los Angeles, California
William Powell	1892 births, 1984 deaths, Deaths from heart failure, American silent movie actors, American movie actors, American television actors, American radio actors, American stage actors, Actors from Pittsburgh, Pennsylvania, Actors from Kansas City, Missouri
Mitchell Hooks	1923 births, 2013 deaths, American painters, Deaths from natural causes, People from Detroit, Michigan, American illustrators
Virgil Trucks	1917 births, 2013 deaths, American baseball players, Sportspeople from Birmingham, Alabama, Chicago White Sox players, Deaths from natural causes, Detroit Tigers players, New York Yankees players, Kansas City Athletics players, St. Louis Browns
Rajpath	Roads in India, New Delhi, National squares
City of David	Neighbourhoods of Jerusalem, Archaeological sites in Israel
Boeing 307 Stratoliner	Boeing aircraft
Vladimír Čech	1951 births, 2013 deaths, Czechoslovak politicians, Deaths from colorectal cancer, Deaths from pneumonia, Disease-related deaths in the Czech Republic, Entertainers from Prague, Czech movie actors, Czech stage actors, Czech television actors, Television presenters, Voice actors
Ducky Detweiler	1919 births, 2013 deaths, Deaths from natural causes, American baseball players, Sportspeople from Pennsylvania
Barnala	Tehsils of Azad Kashmir
Islam in Afghanistan	Islam by country, Afghanistan
Pier 39	Buildings and structures in San Francisco, Landmarks in San Francisco, 1978 establishments in California
Keio University	Colleges and universities in Japan, 1858 establishments, 19th century establishments in Japan, 1850s establishments in Asia
Jessica Lucas	Canadian television actors, Canadian movie actors, 1985 births, Living people
The Kennedys (miniseries)	2011 in television, Miniseries, Emmy Award winning programs, English-language television programs
Ascot, Berkshire	Villages in Berkshire
Lewis Stone	1879 births, 1953 deaths, Deaths from myocardial infarction, American movie actors, American television actors, American stage actors, American radio actors, Actors from Massachusetts, People from Worcester, Massachusetts
Wrigley Building	Skyscrapers in Chicago, 20th century architecture
Conrad Totman	Japanologists, Living people, 1934 births, American historians
Gregory Smits	Japanologists, Living people, 1960 births, American historians
John Charles Daly	1914 births, 1991 deaths, Deaths from cardiac arrest, American movie actors, American television actors, American stage actors, American radio actors, American voice actors, American journalists, American television personalities, American radio personalities, American television presenters, Actors from Boston, Massachusetts, Writers from Boston, Massachusetts, Emmy Award winning actors, Golden Globe Award winning actors, Peabody Award winners, People from Johannesburg
Elaine Stritch	1925 births, 2014 deaths, Deaths from stomach cancer, Deaths from diabetes, Actors from Detroit, Michigan, American movie actors, American stage actors, American television actors, American voice actors, Drama Desk Award winners, Emmy Award winning actors, Singers from Detroit, Michigan
Drama Desk Award	1955 establishments, Drama Desk Awards
Copycat suicide	Suicide
Joel Osteen	1963 births, Living people, American Pentecostals, Christian religious leaders, Christian writers, Television evangelists, Television personalities from Texas, Writers from Houston, Texas
Richard Kind	1955 births, Living people, Jewish American actors, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York, Actors from Pennsylvania, People from Rochester, New York, Actors from Santa Monica, California
Revelstoke, British Columbia	Cities in British Columbia
Clive Revill	1930 births, Living people, British movie actors, British television actors, British stage actors, British voice actors, New Zealand movie actors, New Zealand television actors, New Zealand stage actors, New Zealand voice actors, Actors from London, Actors from Wellington
Ronald Toby	Japanologists, Living people, 1942 births, American historians
Kindergarten Cop	1990 comedy movies, 1990 crime movies, 1990s criminal comedy movies, American criminal comedy movies, English-language movies, Movies directed by Ivan Reitman, Movies set in Los Angeles, California, Movies set in Oregon, Police comedy movies, Universal Pictures movies
Division of Bendigo	Electoral divisions of Australia, Victoria, Australia, 1901 establishments in Australia
Holyland Model of Jerusalem	Temple Mount, Buildings and structures in Jerusalem
T.O.P	South Korean singers, South Korean actors, 1987 births, Living people, Rap musicians, Songwriters, South Korean models
Shrine of the Book	Buildings and structures in Jerusalem
Walytjatjata	Geography of the Northern Territory, Indigenous Australian communities, Pitjantjatjara, Waterholes of Australia
QVC	American television networks, Fashion
Home Shopping Network	American television networks, 1982 establishments in the United States
Evening gown	Dresses
Gloria Reuben	Canadian television actors, Canadian movie actors, Actors from Toronto, 1964 births, Living people
Wikivoyage	Travel, Wikimedia Foundation, Wikis, Websites established in 2006
RR Lyrae	Variable stars
Rosalind Russell	Actors from Connecticut, American movie actors, 1907 births, 1976 deaths, Deaths from breast cancer
L'Osservatore Romano	Newspapers in Europe, Vatican City
Mirrors (song)	2013 songs
Galactic Centre	Milky Way, Black holes
Enterococcus	Gram-positive bacteria
Mycoplasma	Gram-negative bacteria
Micropaleontology	Fossils, Paleontology
Palynology	Paleontology, Botany, Fungi, Forensics
Delta Cephei	Variable stars
Quantum state	Quantum mechanics
Inge Lønning	1938 births, 2013 deaths, Academics, Christian theologians, Disease-related deaths in Norway, Lutherans, Norwegian politicians, People from Bergen
Saguia el Hamra	Western Sahara, Territories, Spanish Africa
Frank Thornton	1921 births, 2013 deaths, Actors from London, Deaths from natural causes, English movie actors, English stage actors, English television actors, English voice actors
Jackdaw	Corvids
Peggy Sue Got Married	1986 comedy-drama movies, 1980s fantasy movies, 1986 romance movies, 1980s romantic comedy movies, 1980s romantic drama movies, American comedy-drama movies, American fantasy movies, American romantic comedy movies, American romantic drama movies, English-language movies, Movies set in the 1960s, Time travel movies, Movies directed by Francis Ford Coppola
Dry stone wall	Construction, Walls
Sun Country Airlines	Airlines of the United States, Low-cost airlines
Virgin America	Virgin Group, Low-cost airlines, Airlines of the United States, 2007 establishments in the United States
Rebecca Romijn	American movie actors, American television actors, Actors from Berkeley, California, 1972 births, Living people
Godsend (movie)	2000s thriller movies, 2004 horror movies, American horror movies, American thriller movies, Canadian horror movies, Canadian thriller movies, English-language movies, Lionsgate movies
Gengen-Wer	Egyptian gods and goddesses
Mount Ebenezer	Buildings and structures in Australia, Northern Territory, Farms, Agriculture in Australia
Evil Dead (2013 movie)	2013 horror movies, American horror movies, Supernatural horror movies, English-language movies, American movie remakes
Jon Lovitz	1957 births, Living people, Comedians from Los Angeles, California, American movie actors, American television actors, American stage actors, American voice actors, American television personalities, Jewish American actors, Actors from Los Angeles, California, Writers from Los Angeles, California, Singers from Los Angeles, California, Emmy Award winners, Screen Actors Guild Award winners
Jerry Colonna	1904 births, 1986 deaths, Deaths from renal failure, American movie actors, American television actors, American voice actors, American stage actors, American radio actors, Comedians from Massachusetts, American songwriters, American radio personalities, American television personalities, Actors from Boston, Massachusetts, Writers from Boston, Massachusetts, Musicians from Boston, Massachusetts, Singers from Boston, Massachusetts
Kozhikode district	Districts of Kerala
Río de Oro	Western Sahara, Spanish Africa
Platform shoe	Footwear
Gown	Dresses
Mary Jane (shoe)	Footwear
Nature (journal)	Science and technology magazines, Weekly magazines, Journals
Diabetic retinopathy	Diseases and disorders of the eye, Diabetes mellitus
Kramer vs. Kramer	1979 drama movies, American drama movies, American legal movies, Best Picture Oscar, English-language movies, Golden Globe Award winning movies, Movies about divorce, Movies about dysfunctional families, Movies based on books, Movies set in New York City, Columbia Pictures movies
Kozhikode	Cities in India, Cities in Kerala
Jerzy Nowak	1923 births, 2013 deaths, Deaths from natural causes, People from Kraków, Polish movie actors, Polish television actors, Polish stage actors, Voice actors
Curse of Tippecanoe	History of the United States, William Henry Harrison
Assassination attempt on Ronald Reagan	1981 crimes in the United States, 1980s in Washington, D.C., 1980s murders in the United States, Crime in Washington, D.C., March events, Presidency of Ronald Reagan
Murchison meteorite	Meteorites, Impact events
Law Abiding Citizen	2009 crime movies, 2009 drama movies, 2009 thriller movies, 2000s crime drama movies, 2000s crime thriller movies, 2000s drama thriller movies, American crime drama movies, American crime thriller movies, American drama thriller movies, American prison movies, English-language movies, Movies about revenge, Movies set in Philadelphia, Pennsylvania, Movies directed by F. Gary Gray
Boeing 314	Boeing aircraft
Theoren Fleury	Calgary Flames players, Canadian ice hockey right wingers, Canadian Olympic gold medalists, Chicago Blackhawks players, Colorado Avalanche players, Ice hockey people from Saskatchewan, New York Rangers players, Stanley Cup champions, 1968 births, Living people, International Hockey League (1945–2001) players
Hank Blade	Canadian ice hockey centres, Chicago Blackhawks players, Ice hockey people from Ontario, 1937 births, 2003 deaths
La Güera	Settlements in Western Sahara
Histrionic personality disorder	Cluster B personality disorders
Waltham Cross	Towns in Hertfordshire
Salvation (Christianity)	Christian theology, Afterlife
Taffy Abel	American ice hockey players, Sportspeople from Michigan, Chicago Blackhawks players, New York Rangers players, 1900 births, 1964 deaths, Ice hockey defencemen
Madge Sinclair	Jamaican entertainers, Deaths from leukemia, Movie actors, 1938 births, 1995 deaths
Pokémon Puzzle League	Puzzle video games, Nintendo 64 games, 2000 video games, Virtual Console games, Pokémon video games
Pokémon Puzzle Challenge	Puzzle video games, Game Boy Color games, 2000 video games, Pokémon video games
The Frighteners	1996 horror movies, 1996 thriller movies, 1996 comedy movies, New Zealand movies, American horror movies, American thriller movies, English-language movies, Movies directed by Peter Jackson
George Gaynes	1917 births, 2016 deaths, Finnish people, Naturalized citizens of the United States, American movie actors, American television actors, American stage actors, American voice actors, American radio actors
Irwin Corey	1914 births, 2017 deaths, Jewish American actors, American movie actors, American centenarians, American television actors, American stage actors, American radio actors, American voice actors, American radio personalities, American television personalities, Comedians from New York City, Actors from New York City, Comedians from California, Actors from San Francisco
Warm Bodies (movie)	2013 comedy movies, 2013 horror movies, 2013 romance movies, 2010s romantic comedy movies, American horror movies, Comedy horror movies, English-language movies, Movies based on books, Zombie movies, Post-apocalyptic movies, Lionsgate movies
Alternative fuel vehicle	Green vehicles, Energy in transport
Angas Downs Indigenous Protected Area	Protected areas of the Northern Territory, Indigenous Protected Areas, Farms, 1930 establishments, 2009 establishments in Australia
Fernie, British Columbia	Ski areas and resorts in Canada, Cities in British Columbia
Creepshow	1982 movies, American horror movies, Warner Bros. movies, English-language movies, Stephen King
Tokelauan language	Austronesian languages, Languages of Oceania
Division of Flinders	Electoral divisions of Australia, Victoria, Australia, 1901 establishments in Australia
Sada Thompson	American movie actors, American stage actors, Actors from Des Moines, Iowa, Deaths from lung disease, 1927 births, 2011 deaths
Maggie McNamara	American movie actors, American stage actors, Actors from New York City, Models from New York City, 1928 births, 1978 deaths
Corrective rape	LGBT, Rape
Bou Craa	Settlements in Western Sahara
Mug Root Beer	Soft drinks
Fermat's little theorem	Number theory
Macedonians	North Macedonia
Gender role	Sociology
Dryadoideae	Rosaceae
Mont-Saint-Hilaire, Quebec	Settlements in Quebec
The Weeknd	1990 births, Grammy Award winners, Living people, Musicians from Toronto, The Weeknd
Horse harness	Horses
Kale	Leaf vegetables, Vegetables, Brassica oleracea
Dakhla, Western Sahara	Settlements in Western Sahara
Belsize Park	Areas of London, London Borough of Camden
Boeing 377	Boeing aircraft
Trading Places	1983 comedy movies, American comedy movies, English-language movies, Movies set in New York City, Movies set in Philadelphia, Pennsylvania, Trading movies, Movies directed by John Landis
Kabbalah	Esotericism, Judaism
Bronchoscopy	Medical procedures, Respiratory system
Hibiscus trionum	Malvaceae, Flowers
Golders Green	Areas of London, London Borough of Barnet
Neil Clark Warren	1934 births, Living people, American Christians, Christian theologians, American theologians, Chief executives, Businesspeople from Chicago, Businesspeople from Iowa, Writers from Des Moines, Iowa
Peter Yarrow	1938 births, Living people, American activists, American guitarists, American record producers, Jewish activists, Jewish American musicians, Jewish businesspeople, Musicians from New York City, Singer-songwriters from New York, Singers from New York City, Warner Bros. Records artists
Simon of Cyrene	Ancient Israeli people, Early Christian saints, New Testament people
James T. Kirk	Star Trek: The Original Series characters, Fictional characters introduced in 1966
Long Thanh International Airport	Airports in Vietnam
A Room with a View (movie)	1985 romance movies, 1985 drama movies, 1980s romantic drama movies, Academy Award winning movies, BAFTA Award winning movies, British romantic drama movies, English-language movies, Florence, Golden Globe Award winning movies, Movies based on books, Movies set in Italy, Movies set in the 1900s, Surrey, Movies directed by James Ivory
Public broadcasting	Mass media
Brookline, Massachusetts	Cities in Massachusetts, 1638 establishments in Massachusetts
Richard Scarry	Writers from Boston, Massachusetts, 1919 births, 1994 deaths
Children's literature	Children's literature, Fiction
Deborah Jeane Palfrey	1956 births, 2008 deaths, Businesspeople from Pittsburgh, Pennsylvania, Criminals from Pennsylvania, Criminals who committed suicide, People from Orlando, Florida, Suicides by hanging in the United States
Fumihiko Maki	1928 births, Living people, Japanese architects, Harvard University alumni, Pritzker Prize winners, People from Tokyo
Division of Yarra	Former electoral divisions of Australia, Victoria, Australia, 1901 establishments in Australia, 1969 disestablishments in Australia
Betty Mars	French movie actors, Singers, 1944 births, 1989 deaths, Actors who committed suicide
Daequan Cook	1987 births, Living people, African-American basketball players, Oklahoma City Thunder players, Houston Rockets players, Chicago Bulls players, Sportspeople from Dayton, Ohio, American basketball players
Jimmy Butler	1989 births, Living people, African-American basketball players, Chicago Bulls players, Miami Heat players, Minnesota Timberwolves players, Philadelphia 76ers players, Sportspeople from Houston, Texas, American basketball players
Alan Kalter	1943 births, Living people, American television presenters, Television personalities from New York City, People from Stamford, Connecticut
Andrea Feldman	People who committed suicide, American movie actors, 1948 births, 1972 deaths, Actors from New York City
Bill Wendell	1924 births, 1999 deaths, Deaths from cancer, American television presenters, Television personalities from New York City, Boca Raton, Florida
Roland Burris	1937 births, Living people, United States senators from Illinois, US Democratic Party politicians
Libby Holman	American stage actors, American movie actors, American musical theatre actors, Actors from Cincinnati, Ohio, People who committed suicide, 1904 births, 1971 deaths
Natural killer T cell	Blood cells
Tell Me Something I Don't Know	2008 songs, Selena Gomez songs
Melody Anderson	Canadian movie actors, Canadian singers, 1955 births, Living people
Atherosclerosis	Cardiovascular system
June Allyson	American movie actors, American stage actors, American television actors, 1917 births, 2006 deaths, Actors from New York City, Deaths from respiratory failure, Deaths from bronchitis
Interferon	Immunology, Molecular biology
Facebook, Inc.	American technology companies, 2004 establishments in the United States, Companies based in the San Francisco Bay Area, Companies listed on NASDAQ, Menlo Park, California, Companies of the United States
Angela Bettis	American movie actors, American stage actors, American television actors, Actors from Austin, Texas, 1973 births, Living people
Culver's	American fast food restaurants, 1984 establishments in the United States
M.U.G.E.N.	1999 video games, Fighting games, DOS games
The Shirelles	American girl groups, 1957 establishments in the United States, 1982 disestablishments in the United States, Musical groups established in 1957, Musical groups disestablished in 1982, 20th-century establishments in New Jersey, 1980s disestablishments in New Jersey
The Blossoms	American girl groups, American musical groups, 1990 disestablishments in the United States, Musical groups disestablished in 1990
Dulwich	Areas of London, London Borough of Southwark
Barnes, London	Areas of London, London Borough of Richmond
Justin Martyr	2nd century births, 165 deaths, Christian saints
Streatham	Areas of London, London Borough of Lambeth
Field Museum of Natural History	Museums in Chicago, 1893 establishments in the United States, 1890s establishments in Illinois, Natural history museums
List of colleges and universities in Vermont	Lists of colleges and universities, Colleges and universities in Vermont
Museum of Science and Industry (Chicago)	Museums in Chicago, 1933 establishments in the United States, 1930s establishments in Illinois
Shedd Aquarium	Museums in Chicago, Aquariums, 1930 establishments in the United States, 1930s establishments in Illinois
Adler Planetarium & Astronomy Museum	Museums in Chicago, Landmarks in Chicago, 1930 establishments in the United States, 1930s establishments in Illinois
Central Bank of Russia	Buildings and structures in Moscow, Banks
Malakunanja II	History of Australia, Archaeological sites in Australia, Northern Territory
Harrowing of Hell	Jesus Christ
Mary Jane Girls	1983 establishments in the United States, 1980s American music groups, African-American musical groups, American girl groups, American R&B bands, Musical groups disestablished in 1987, Musical groups established in 1983, 1980s establishments in California, 1980s disestablishments in California, 1987 disestablishments in the United States
Manuel García Ferré	1929 births, 2013 deaths, Deaths from surgical complications, Spanish people, Argentine people, Cartoonists, People from Buenos Aires
Hjalmar Andersen	1923 births, 2013 deaths, 1952 Winter Olympics, Accidental deaths from falls, Norwegian Olympians, Olympic gold medalists
Clara Blandick	Actors from Boston, Massachusetts, American movie actors, American stage actors, Drug-related suicides in the United States, 1876 births, 1962 deaths
Mario Party 4	2002 video games, Mario Party games, Nintendo GameCube-only games, Nintendo GameCube games, 2000s video games, Video games developped in Japan, Party video games, Board games
Hey You, Pikachu!	1998 video games, Nintendo 64 games, Pokémon video games
Ramón José Velásquez	1916 births, 2014 deaths, Presidents of Venezuela, Venezuelan entertainers, Historians, Venezuelan journalists, Lawyers
Martha Gellhorn	American war correspondents, Writers from St. Louis, Missouri, Writers who committed suicide, Drug-related suicides, 1908 births, 1998 deaths
Octavio Lepage	1923 births, 2017 deaths, Presidents of Venezuela
Hyperbola	Conic sections
Eleanor Marx	1855 births, 1898 deaths, British activists, British socialists, English writers, Writers who committed suicide
Eta Carinae	Hypergiants
Anne Sexton	Writers who committed suicide, Deaths from carbon monoxide poisoning, Writers from Massachusetts, 1928 births, 1974 deaths
Leerdam	Cities in the Netherlands, Settlements in Utrecht (province), Former municipalities of South Holland, Vijfheerenlanden
Helen Twelvetrees	People who committed suicide, American movie actors, American stage actors, Actors from New York City, 1908 births, 1958 deaths
Tribadism	Sexual acts
Federal monarchy	Federations, Monarchy
Geniocracy	Intelligence, Forms of government
Democratic republic	Forms of government, Democracy
Mob rule	Forms of government, Political systems
Demarchy	Political systems
Compulsory voting	Discrimination, Voting
The Mark of Athena	Rick Riordan, Percy Jackson and the Olympians, Fantasy books
Sarah Kane	1971 births, 1999 deaths, English atheists, English LGBT people, English novelists, English playwrights, English screenwriters, Lesbians, People from Brentwood, Essex, Suicides by hanging in the United Kingdom, Writers from Essex, Writers who committed suicide
Belshazzar	Old Testament people, Kings and queens
S. Epatha Merkerson	Actors from Michigan, Golden Globe Award winning actors, Emmy Award winning actors, American movie actors, American television actors, American voice actors, American stage actors, 1952 births, Living people, People from Saginaw, Michigan
Dann Florek	1950 births, American television actors, Living people
Tesla, Inc.	2003 establishments in California, Automobile companies, Companies based in the San Francisco Bay Area, Electric vehicles, Palo Alto, California, Elon Musk
Naomi (given name)	Given names
Peripheral neuropathy	Health problems, Nervous system
Nissan Motor Company	Nissan, 1933 establishments, 1930s establishments in Japan
Dick Wolf	1946 births, Living people, American television producers, Emmy Award winners, People from New York City
Geoff Peterson	Robots
Arthur Gardner	1910 births, 2014 deaths, Deaths from natural causes, American centenarians, American silent movie actors, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, American movie producers, Actors from Wisconsin
Louise Currie	1913 births, 2013 deaths, American centenarians, American silent movie actors, American movie actors, American television actors, American stage actors, American radio actors, Actors from Oklahoma City, People from Beverly Hills, California
Tommy Kelly (actor)	1925 births, 2016 deaths, Deaths from congestive heart failure, American child actors, American movie actors, American television actors, American stage actors, American teachers, Actors from New York City
Barbara Blida	Polish politicians, Politicians who committed suicide, 1949 births, 2007 deaths
Officer Creek	Rivers of South Australia
A Message From Earth	Extraterrestrial life, Signalling
Lake Neale	Lakes of the Northern Territory
Kow Swamp	Lakes of Australia, Geography of Victoria, Australia
Migratory locust	Orthoptera
Kow Swamp archaeological site	History of Australia, Archaeological sites in Australia, Victoria, Australia
